,Recipe_id,Calories,cook_time,prep_time,servings,Recipe_title,total_time,url,Region,Sub_region,Continent,Source,img_url,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),Utensils,Processes,vegan,pescetarian,ovo_vegetarian,lacto_vegetarian,ovo_lacto_vegetarian,title_length
count,118083.0,118083.0,118081.0,118080.0,72052.0,118083,117984.0,118083,118083,118083,118083,118083,118083,117039.0,117039.0,117039.0,117039.0,103495,117853,118083.0,118083.0,118083.0,118083.0,118083.0,118083.0
unique,,,,,,112254,,116620,26,75,6,3,49950,,,,,32988,110489,,,,,,
top,,,,,,Baklava,,http://allrecipes.com/recipe/213577/spicy-potato-noodles-bataka-sev/,Italian,Italian,European,Geniuskitchen,https://geniuskitchen.sndimg.com/gk/img/gk-shareGraphic.png,,,,,bowl,mix,,,,,,
freq,,,,,,10,,4,16574,16574,47593,101917,65751,,,,,5780,379,,,,,,
mean,86218.9310569684,473.77048601407483,5.7250870165394945,2.488795731707317,7.049755731971354,,149.88391646324925,,,,,,,835.972819519989,9697.008221518468,509.47426125052334,488.8165114654089,,,0.09013151766130603,0.11165027988787547,2.540585859099108e-05,0.07761489799547776,2.540585859099108e-05,27.86111463970258
std,40692.144001019864,2177.8170375110526,32.312320011336205,9.919167532676695,9.37281551771287,,2095.099224087334,,,,,,,6758.136885870834,61226.59215079254,4077.491454571059,4345.346591188803,,,0.2863713003852588,0.3149370331537693,0.005040379775596922,0.2675657524520424,0.005040379775596921,11.718403590408728
min,2610.0,0.0,0.0,0.0,1.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,3.0
25%,60567.5,187.45,0.0,0.0,4.0,,25.0,,,,,,,22.94395,553.0741499999999,13.6811,17.7293,,,0.0,0.0,0.0,0.0,0.0,19.0
50%,90108.0,339.0,0.0,0.0,6.0,,40.0,,,,,,,64.3133,1249.3705,49.5069,54.5035,,,0.0,0.0,0.0,0.0,0.0,26.0
75%,119653.5,547.9,0.0,0.0,8.0,,75.0,,,,,,,199.95245,2439.7785000000003,124.62555,123.5101,,,0.0,0.0,0.0,0.0,0.0,35.0
max,149191.0,612854.6,1200.0,720.0,1000.0,,259260.0,,,,,,,252062.68,3440456.643,178134.3738,363846.9756,,,1.0,1.0,1.0,1.0,1.0,100.0
